case,instance,svns_obj_mean,vns_best_common_model,vns_best_reported,vns_gap_percent,alns_best_common_model,alns_best_reported,alns_gap_percent
C_3_4,C-4-3,7.685943700023555,9.681751666193275,9.781751666193276,20.61412061557703,10.250996995650373,10.250996995650372,25.022476318305458
R_3_4,R-4-3,7.724190130206457,12.19478896517692,12.29478896517692,36.65991144034204,12.576338054988847,12.576338054988847,38.581564073475384
RC_3_4,RC-4-3,7.953171918209634,11.34883143992979,11.448831439929787,29.92078558654813,12.213592420874424,12.213592420874424,34.88261566173802
C_6_10,C-10-6,8.278613051067428,15.246502155263098,15.537876101306086,45.7015585164257,16.456615558219905,16.45661555821991,49.6943158100795
C_6_20,C-20-6,9.890097964285818,15.258961598665557,15.537876101306086,35.18498686600839,16.509962783206767,16.50996278320676,40.09618256471416
C_6_30,C-30-6,8.715251846937134,15.337876101306087,15.537876101306086,43.17823543903192,16.537109439691093,16.537109439691097,47.29881979241512
R_6_10,R-10-6,8.034413615167958,16.510637350481364,16.710637350481363,51.33795598185241,16.887946807417503,16.88794680741751,52.42516034193634
R_6_20,R-20-6,8.876333945742827,16.510637350481364,16.710637350481363,46.2386959551017,16.94492164536253,16.944921645362523,47.61655361108091
R_6_30,R-30-6,9.377571409969628,16.510637350481364,16.710637350481363,43.20285031458082,16.969648260259746,16.96964826025972,44.739152714612075
RC_6_10,RC-10-6,8.67520407055039,14.979314021536055,15.279314021536054,42.085438237840016,16.573849816263365,16.573849816263373,47.657278382975925
RC_6_20,RC-20-6,7.969100541851556,14.979314021536055,15.279314021536054,46.799295812917585,16.65924663351715,16.65924663351715,52.16410011111591
RC_6_30,RC-30-6,8.596329696223902,14.979314021536055,15.279314021536054,42.61199355414548,16.691761078423262,16.691761078423255,48.499564211136374
C_9_10,C-10-9,9.817641409610946,16.43400713885045,16.53400713885045,40.26020965755961,19.437478558837164,19.53747855883716,49.49117819014957
C_9_20,C-20-9,9.85150165172001,16.430640309798978,16.575240133982224,40.041888411100274,19.550202303125648,19.650202303125656,49.60920864667998
C_9_30,C-30-9,11.597494673180288,16.301044581002326,16.60004594696849,28.854285284905494,19.612840749356785,19.71284074935678,40.867848664091994
R_9_10,R-10-9,11.707893309398735,21.406160118455137,21.557684328747992,45.30596218746923,24.014837674996247,24.014837674996247,51.24725193712739
R_9_20,R-20-9,13.497068609124511,21.368669427149598,21.61282521216324,36.837112600113315,24.095910703653413,24.095910703653395,43.986061472754
R_9_30,R-30-9,14.570847497098987,21.38455621679028,21.484556216790278,31.862754833983637,24.12390095217197,24.123900952171926,39.59995306734537
RC_9_10,RC-10-9,9.746640392719598,14.720369710004565,15.120369710004564,33.78807336547136,16.643619534690558,16.743619534690556,41.43917810423074
RC_9_20,RC-20-9,12.45484943035249,14.620369710004567,15.120369710004564,14.811665659659985,16.686109803637084,16.786109803637082,25.357979919095957
RC_9_30,RC-30-9,10.653067039405446,14.620369710004567,15.120369710004564,27.135446977680306,16.69679351612728,16.796793516127302,36.196928894666236
C_12_10,C-10-12,17.771523538778734,18.127585632903603,18.670764631362278,1.9642003151185046,20.530134477740457,21.027578436091368,13.436886845299105
C_12_20,C-20-12,15.479908548454798,18.09476840965381,18.670764631362278,14.450916430651567,20.58580573312343,21.083249691474336,24.80299897347728
C_12_30,C-30-12,17.603503073961114,17.9013163991624,18.670764631362278,1.6636392461909708,20.605237936395426,21.102681894746347,14.56782431583714
R_12_10,R-10-12,17.739210914873983,25.55066812481306,25.9918472991864,30.572418583266423,28.775940697362902,28.775940697362913,38.35401906948033
R_12_20,R-20-12,19.91504914651071,25.500144348820175,25.9918472991864,21.902210144029528,29.035682690668484,29.035682690668484,31.411810224420766
R_12_30,R-30-12,19.484305442956884,25.447514124770752,25.9918472991864,23.433364267236016,29.015537842381384,29.015537842381413,32.848718680316026
RC_12_10,RC-10-12,18.319138210895694,22.19088076204463,22.28541938218551,17.447448763598324,24.909639045371165,25.165995465384384,26.457632816241674
RC_12_20,RC-20-12,15.137637893295112,22.379263984433614,22.679263984433618,32.35864278724972,25.35700521874581,25.613361638759045,40.30194905625437
RC_12_30,RC-30-12,16.763794128893778,22.520965211464954,22.820965211464944,25.563607192289965,25.403001066457605,25.659357486470817,34.00860754586641
