vehicle,drone_id,sortie_id,route_position,node_id,x,y,arrival_time,departure_time
truck,,,0,0,0.0,0.0,0.0,0.05
truck,,,1,3,48.0,58.0,3.814306044943742,4.13990449856448
truck,,,2,25,67.86913466580114,74.04814723007016,5.416937722374406,5.416937722374406
truck,,,3,24,100.0,100.0,7.482059491978161,8.999926089438633
drone,2,1,0,0,0.0,0.0,0.05,0.05
drone,2,1,1,17,13.499028,15.819353,0.7432016591980152,0.7432016591980152
drone,2,1,2,18,22.050221,21.128419,1.0787097043335563,1.0787097043335563
drone,2,1,3,19,29.065259,28.398698,1.4154715966077482,1.4154715966077482
drone,2,1,4,20,35.83109,35.918911,1.7526660223655661,1.7526660223655661
drone,2,1,5,21,42.566988,43.466139,2.089865225525274,2.089865225525274
drone,2,1,6,22,49.303175,51.013415,2.4270720369747747,2.4270720369747747
drone,2,1,7,3,48.0,58.0,2.663974818354371,2.663974818354371
drone,2,2,0,3,48.0,58.0,3.9143060449437415,3.9143060449437415
drone,2,2,1,13,82.50982,68.027218,5.112208274886627,5.112208274886627
drone,2,2,2,27,82.50982,77.16910142463338,5.416937722374406,5.416937722374406
drone,2,2,3,14,82.50982,84.180647,5.65065590821996,5.65065590821996
drone,2,2,4,16,84.505396,84.180647,5.71717510821996,5.71717510821996
drone,2,2,5,15,84.505396,68.027218,6.255622741553293,6.255622741553293
drone,2,2,6,26,76.523091,76.10393249999998,6.6341440021150495,6.6341440021150495
drone,2,2,7,8,76.523091,84.180647,6.9033678187817165,6.9033678187817165
drone,2,2,8,9,78.518667,84.180647,6.969887018781717,6.969887018781717
drone,2,2,9,10,78.518667,68.027218,7.50833465211505,7.50833465211505
drone,2,2,10,11,80.514243,68.027218,7.57485385211505,7.57485385211505
drone,2,2,11,12,80.514243,84.180647,8.113301485448382,8.113301485448382
drone,2,2,12,24,100.0,100.0,8.949926089438632,8.949926089438632
