mode,drones,objective_mean,objective_min,runtime_mean
C,1,19.06115514531914,18.432422465581286,82.43472204208373
C,2,15.197908689451884,13.95780523506192,91.64851512908936
C,3,13.865110628251506,12.924901756025148,143.56458225250245
C,4,12.025553777210982,11.6610726207198,130.96068620681763
C,5,11.441591917547697,9.333746088477167,73.234361743927
R,1,22.394389273181105,21.472921892464356,121.93576669692993
R,2,17.11691730733805,16.009413690366877,88.23836631774903
R,3,16.542739467540436,16.080978836887578,121.88227829933166
R,4,16.401992361762733,15.793130530494063,169.8006995677948
R,5,15.06526776027884,12.291698998277738,105.69786472320557
RC,1,17.837508651216968,17.02095373712536,58.09451341629028
RC,2,13.611555020753343,12.903606591796981,67.94869041442871
RC,3,12.648519128661073,10.59201976979831,110.19293317794799
RC,4,11.411158167207995,10.416593789581091,124.34493236541748
RC,5,10.878122094252808,9.785382797365937,96.70673971176147
