case,instance,plan_replaced,failed_drones,failure_time,status,original_completion,recovered_completion,change_percent,runtime_seconds,levels,audit_ok,reason
C_6_10,C-10-6,False,1;2,3.0229071374446033,completed,7.471067811865476,9.67497415151623,29.499214772894064,0.0186649169772863,3;3,True,
C_6_20,C-20-6,True,3;5,4.215223021238593,completed,8.94534526785967,10.372445797806543,15.953554471222036,0.045466249983292,3;3;3,True,
C_6_30,C-30-6,False,2;5,3.2870810989592054,completed,10.47264288850507,14.581469228561664,39.233900972279905,0.0356092920410446,3;3,True,
R_6_10,R-10-6,False,3;5,0.3357022603955159,completed,8.340391890150384,14.080570064303895,68.8238424495664,0.0209939170163124,3;3,True,
R_6_20,R-20-6,False,1;2,6.186327558721233,completed,9.18318126089086,12.124075791643063,32.024790181119755,0.0119351249886676,3;3,True,
R_6_30,R-30-6,False,3;4,6.845630843255713,completed,9.53329040233196,11.159270299108504,17.05580998957935,0.000748791033402,1,True,
RC_6_10,RC-10-6,False,2;5,6.862700896207628,completed,10.713347951422914,10.713347951422914,0.0,0.0016514580347575,1,True,
RC_6_20,RC-20-6,False,1;3,3.128099153541317,completed,8.767876458314285,11.77162760512825,34.25859341306763,0.0238909579929895,3;3,True,
RC_6_30,RC-30-6,False,1;3,4.5655538522622345,completed,10.29395064259977,13.1960790841627,28.192562237018727,0.0355277089984156,3;3;1,True,
C_9_10,C-10-9,False,1;4,5.106229819754035,completed,12.322397154011108,12.322397154011108,0.0,0.0012816250091418,1,True,
C_9_20,C-20-9,False,1;3,5.915248659168421,completed,11.53817617731256,14.021358375570122,21.52144463819358,0.0463719160179607,3;3,True,
C_9_30,C-30-9,False,2;3,4.508735767740621,completed,12.627396302675429,16.74442433631321,32.60393461132987,0.0659553339937701,3;3,True,
R_9_10,R-10-9,False,2;4,6.779171820439152,completed,15.284491745783932,16.064560477851963,5.103661574374594,0.0426259579835459,3;3;1,True,
R_9_20,R-20-9,False,3;5,9.45955144150178,completed,16.523113929312522,16.523113929312522,0.0,0.0085994999972172,1,True,
R_9_30,R-30-9,False,2;3,10.573510277633943,completed,16.00842677161294,17.665987408978662,10.354300650611115,0.0109455829951912,1,True,
RC_9_10,RC-10-9,False,3;5,8.856515155172445,completed,11.193872080291442,11.468084161721311,2.449662453376277,0.0022707920288667,1,True,
RC_9_20,RC-20-9,True,1;3,5.337299565761997,completed,12.22319554679335,15.047165899899811,23.10337212798094,0.0479460409842431,3;3,True,
RC_9_30,RC-30-9,False,1;2,10.43053100155084,completed,13.2185746180198,13.961669431653412,5.621595634226787,0.0051267920061945,1,True,
C_12_10,C-10-12,True,1;3,11.208275760490086,completed,14.3587621435867,16.369438706625107,14.003133020324247,0.0708868340007029,3;3;3,True,
C_12_20,C-20-12,False,1;2,17.14817231940151,completed,19.26195013796774,19.460134875673145,1.028892382577383,0.0043872079695574,1,True,
R_12_10,R-10-12,False,1;3,16.1801376865879,completed,22.893535463874713,22.893535463874713,0.0,0.006921374995727,1;1,True,
R_12_20,R-20-12,False,1;3,14.537298161508335,completed,21.165432333962467,21.165432333962467,0.0,0.0027826669975183,1,True,
R_12_30,R-30-12,False,2;3,23.919991449051928,completed,25.93003220115753,26.467892767570408,2.074276507797269,0.003977374988608,1,True,
RC_12_10,RC-10-12,True,1;5,3.5155577802939573,completed,17.23322720908419,16.80816271500223,-2.4665402998800867,0.0071496249875053,1;2;2;1,True,
RC_12_20,RC-20-12,False,3;5,4.031007669264071,completed,19.83714703951449,20.029349849470194,0.9689034898659832,0.0016356250271201,2;2,True,
C_12_30,C-30-12,True,4;5,12.428697305065164,completed,17.187348552768555,18.37729749064081,6.923400280263575,0.0732511669630184,1;1;3,True,
RC_12_30,RC-30-12,True,2;4,4.706622283168626,completed,16.763794128893778,20.27762972823879,20.960861081493636,0.2716903330292552,1;3;2;3;3;3;1,True,
