case,instance,plan_replaced,failed_drone,failure_time,status,original_completion,recovered_completion,change_percent,runtime_seconds,levels,audit_ok,reason
C_3_4,C-4-3,False,1,4.0,completed,7.479902009919963,7.686083775909054,2.7564768323923254,0.0004629159811884165,3,True,
R_3_4,R-4-3,False,2,1.87,completed,8.633785033842903,9.619471688183939,11.416622610793752,4.068425167002715,4,True,
RC_3_4,RC-4-3,False,1,5.0,completed,8.12362872434766,11.474647468418185,41.25026952582226,0.0004065409884788096,3,True,
C_6_10,C-10-6,False,2,3.8,completed,7.471067811865476,8.399676529196418,12.429397520072495,0.016541833989322186,3,True,
C_6_20,C-20-6,True,2,3.3715493239628924,completed,8.94534526785967,11.717391345940216,30.988698536214315,0.01729158399393782,3,True,
C_6_30,C-30-6,False,1,7.2,completed,10.47264288850507,13.894192285117725,32.67130783546718,0.02259912498993799,3,True,
R_6_10,R-10-6,False,2,4.5,completed,8.340391890150384,9.689509745696714,16.175713003840695,0.015212749945931137,3,True,
R_6_20,R-20-6,False,1,6.7,completed,9.183181260890859,10.684306663201268,16.346463819715403,0.021341665997169912,3,True,
R_6_30,R-30-6,False,2,5.7,completed,9.53329040233196,11.423015299179797,19.822378392937512,0.045276541961357,3;3,True,
RC_6_10,RC-10-6,False,5,7.2,completed,10.713347951422914,10.713347951422914,0.0,0.0020854169852100313,1,True,
RC_6_20,RC-20-6,False,2,6.5,completed,8.767876458314285,9.928594176015384,13.238299184752181,0.02071537502342835,3,True,
RC_6_30,RC-30-6,False,2,8.1,completed,10.29395064259977,10.859490994061428,5.4939096863478785,0.003311790991574526,1,True,
C_9_10,C-10-9,False,5,9.2,completed,12.322397154011107,12.3298299954349,0.060319768393236786,0.0015415000380016863,1,True,
C_9_20,C-20-9,False,3,9.0,completed,11.53817617731256,13.715751862131578,18.872789350372127,0.047285833046771586,3,True,
C_9_30,C-30-9,False,2,9.1,completed,12.627396302675427,12.627396302675427,0.0,0.06049987504957244,3,True,
R_9_10,R-10-9,False,1,9.0,completed,15.284491745783932,15.284491745783932,0.0,0.005297042021993548,1,True,
R_9_20,R-20-9,False,5,10.8,completed,16.523113929312522,16.523113929312522,0.0,0.006653833028394729,1,True,
R_9_30,R-30-9,False,1,12.0,completed,16.00842677161294,16.04928329027194,0.25521882469707063,0.002097457996569574,1,True,
RC_9_10,RC-10-9,False,1,8.8,completed,11.193872080291442,11.193872080291442,0.0,0.005388874968048185,1,True,
RC_9_20,RC-20-9,True,5,3.446203673293192,completed,12.22319554679335,12.22319554679335,0.0,0.04687270801514387,3;1,True,
RC_9_30,RC-30-9,False,3,10.5,completed,13.218574618019801,13.446341935843675,1.7230853129457497,0.007777084014378488,1,True,
C_12_10,C-10-12,True,2,7.052691149419102,completed,14.3587621435867,15.331151630598658,6.7720982998960855,0.04447091603651643,3;1,True,
C_12_20,C-20-12,False,4,17.2,completed,19.26195013796774,19.26195013796774,0.0,0.0065825419733300805,1,True,
C_12_30,C-30-12,True,2,7.8680979794108,completed,17.187348552768555,18.625317924046712,8.366440971760754,0.09601516596740112,3;1,True,
R_12_10,R-10-12,False,3,19.5,completed,22.893535463874713,22.893535463874713,0.0,0.00410345901036635,1,True,
R_12_20,R-20-12,False,5,18.4,completed,21.165432333962467,23.323503129379418,10.19620464805752,0.07025058299768716,3,True,
R_12_30,R-30-12,False,4,23.0,completed,25.93003220115753,25.93003220115753,0.0,0.03292116697411984,1,True,
RC_12_10,RC-10-12,True,3,0.6320477875329369,completed,17.23322720908419,15.953321869532004,-7.426962599770675,0.05757716699736193,1;2;2;2;2;3;1,True,
RC_12_20,RC-20-12,False,4,16.0,completed,19.83714703951449,23.03524427195153,16.1217599792279,0.09178991598309949,3,True,
RC_12_30,RC-30-12,True,5,0.5500039494488623,completed,16.763794128893778,22.34811972306879,33.311823989474846,0.23389766697073355,3;3,True,
