mode,coverage_area_num,operational_node_num,reconstructed_total_time
C,12,10,16.247547681307687
C,12,20,19.26195013796774
C,12,30,20.046852524906562
C,3,4,7.686083775909054
C,6,10,8.180497213515146
C,6,20,11.907569632741628
C,6,30,14.415526214245716
C,9,10,12.660842593653781
C,9,20,19.411890736155875
C,9,30,14.597318584846134
RC,12,10,12.088843679680277
RC,12,20,25.233624169949103
RC,12,30,19.339820630430093
RC,3,4,9.423853381961328
RC,3,4,11.474647468418185
RC,6,10,10.713347951422914
RC,6,20,9.928594176015384
RC,6,30,11.245183299934872
RC,9,10,11.611176489100982
RC,9,20,10.468004293613836
RC,9,30,14.104586133291635
R,12,10,22.893535463874713
R,12,20,25.30850213597772
R,12,30,26.24014546839649
R,3,4,12.509111729326829
R,6,10,14.089509745696716
R,6,20,10.684306663201268
R,6,30,10.563000381309058
R,9,10,15.600819464019075
R,9,20,16.523113929312522
R,9,30,16.094730569661216
